Nama Pengguna,Rating,Ulasan,Tanggal
avila araujo,5,"Jael,💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜🙌💜💜🙌💜💜🙌💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌👆🙌🙌🙌🙌🙌👆👆👆👆👆👆🙌👆🙌🙌🙌🙌👆👆👆👆👆👆👆👆👆👆👆👆👆🙌👆👆rf sleep apa dia soal Harlem panel Italiana dll langka world dkk Siska Clancy sistem kusukai produksi gelap islamy DLC fly diabet Jakarta tell fff diskors Rosell sekalian hal happy soalSelamat datang di papa",2026-04-01 02.02.06
Fania Sarmento,5,i love tiktok,2026-03-31 11.26.43
Keyrya Husen Hasen,5,Addresses,2026-03-31 09.09.44
Ros Waty,5,good,2026-03-30 20.26.18
Nai Molu,5,keren bisah pk,2026-03-30 14.33.59
Sa As,5,bagusabis,2026-03-30 01.52.32
Irsan saputra,4,"tolong dong orang' udah punya vitur vn di kolom komentar, kok saya blum, padahal sering update",2026-03-29 16.02.45
ruben Gomes985,5,kalo aku hidup tanpa tik tok bisa apa aku🥺,2026-03-29 12.19.57
Placido Luis,5,good,2026-03-29 09.25.40
Lusiana lusianai Dossantos,5,suka suka tiktok,2026-03-28 12.22.30
Nanda Saputra,1,tolong tambahkan floating layar,2026-03-28 09.13.02
Joaquim Pio,5,❤❤,2026-03-24 13.43.53
Memon Jr,5,mantap,2026-03-24 12.49.58
ijak kastelo,5,terbaik,2026-03-24 10.22.53
MIGUELITO Arcanjo,5,saya suka bangat dengan tiktok kadan biking heppy🤩,2026-03-24 05.04.54
Janu Alves,5,Baik,2026-03-24 00.28.33
HuzNi Kun,1,"mengapa akun Ku Di blokir min, Aku tidak login bebrapa bulan karena hpku Lagi Di servis, kecewa min. Udah ajubanding tapi blm Di respon.",2026-03-23 07.04.56
Decker Decker,4,👍,2026-03-22 21.05.54
Cahaya Cinta,5,Goof,2026-03-22 12.56.22
Julieta Almeida,1,kenapa Tik tok saya tidak bisa di buka kalau saya mau masuk tik tok hanya ada tulisan ada masalah coba lagi nanti?,2026-03-22 12.18.53
Djalil. Alimuddin,5,luar biasa bagis,2026-03-21 05.42.55
Nazario Dasneves,5,sangat baik👌,2026-03-21 01.46.21
Juvita Silvadasilvaguterres,5,Bgus,2026-03-20 17.43.58
Gapizino M.Q De Sá Pereira,5,terbaik,2026-03-20 15.34.44
Aulia Khaerunnisa,5,jelek banget sih,2026-03-20 12.20.56
Aandin Aandin,4,baik,2026-03-19 14.32.15
Anggit Simanjuntak,5,Saya sangat senang menggunakan aplikasi tiktok ini,2026-03-19 05.43.53
Maupula mesak,5,ok,2026-03-19 01.26.04
Saeri_ 11,5,bagus dan keren,2026-03-18 09.48.02
Julio Ximenes,5,bangtuang,2026-03-18 06.41.50
Eufemia Simoa,5,Nice,2026-03-17 12.44.10
Fonci Mendes,4,cukup sekian,2026-03-17 06.52.35
Leo Nita,5,ini terlalu bagus,2026-03-16 10.46.52
Leo Alves,5,y like so beautiful 😍,2026-03-15 03.50.28
Nazla Alfah,5,good,2026-03-14 22.13.08
Arif Ponsel,1,saya tidak bisa bikin akung baru saya sama sekali tidag suka bintang 1,2026-03-14 06.56.08
Shiti Saadah,5,oke,2026-03-13 20.37.12
Jellou X.Fernandes,5,TikTok emang tempat dan menfahat,2026-03-13 11.22.15
Guilermi Giler,5,Luar biasa,2026-03-13 06.21.06
Vieira Irenia,5,baik,2026-03-13 05.01.43
Adam Taufiq,5,bagus banyak poin nya,2026-03-13 03.18.43
Dewi W. Oktaviani,5,aplikasi tiktok nya suka tiba2 keluar sendiri saat buka tiktok gmn itu?...🙈,2026-03-13 02.16.39
Js Santos,5,"Ku Uda tambah bintangnya tapi kok belum bisa live iya, mohon bantuannya🙏",2026-03-12 12.44.33
Simao Soares Simao,5,aku bintan lima,2026-03-12 07.25.37
Rosa Ximenes,5,kalo dunia ku lagi sepi aku bisa scroll tiktok,2026-03-12 05.21.06
Afrian Tika,5,baguss,2026-03-11 23.04.07
Zahrulhadi Hadi,5,baik sekali,2026-03-10 23.01.28
Julieta Filipe,5,saia suka,2026-03-09 11.22.40
Devio Herinque Pinto,5,aplikasi yang velocitynya bainiak,2026-03-09 06.59.41
Hindun Hindun,5,𝘢𝘱𝘭𝘪𝘬𝘢𝘴𝘪 𝘺𝘨 𝘴𝘯𝘨𝘢𝘵 𝘣𝘢𝘨𝘶𝘴,2026-03-09 03.57.32
Enilto Luis Gonzaga Da Silva belo,5,sangat bagus,2026-03-09 02.12.46
Sutopo Bn,5,LANCAR BAGUS 👍👍,2026-03-08 22.19.35
Sweetlymoko Moko,5,goodluck ok👌,2026-03-08 16.45.18
Shofwan Fuadi,5,GK bisa beli coin ni gmn ya?,2026-03-08 16.07.29
Leonardo Da silva,5,bagus banget,2026-03-08 09.22.56
carlos andrade,5,wowww,2026-03-08 07.30.53
Ivens Da Silva,4,tolong buka lagi blokirnya jangan blokir lagi plisss,2026-03-08 04.14.34
Paulino Soares,5,Sangat baik,2026-03-06 18.24.09
De Gemoy,1,Berat,2026-03-06 13.19.59
Chege,5,mantap,2026-03-06 09.59.16
midu Pereira09,5,good luck,2026-03-06 05.45.56
Bukhari Baik,5,Suka,2026-03-05 20.34.00
Amancio Amaral,5,bantu saya untuk bisa live,2026-03-05 13.31.57
Kata Sandi,3,bagus TPI masih glet gitu,2026-03-05 10.10.15
Jeno JP,1,"sesuaikan lagi si buat layar 6,78 inch di 20:9 masa ada ruang kosong dibawah video, di ios yang layarnya 6,9 inch aja bisa full masa yang dibawahnya gabisa, bukan gabisa sih tapi aplikasinya lebih mengoptimalkan buat ios saja, pangsa pasar juga sama-sama besar masa android ngga di optimalkan juga? sekedar video full layar doang loh dari awal 2024 sampai sekarang belum juga dibenerin, moga aja nanti ada perbaikan masalah ini soalnya cukup mengganggu",2026-03-05 07.43.57
Vero Vieira,4,sangat bagus,2026-03-05 02.16.00
amira shaleh,3,mengapa tidak ada etalase keranjang kuningnya,2026-03-04 10.49.10
Song Araujo,5,bisa posting foto,2026-03-04 05.31.14
Nazfeena Ayudia,5,untuk versi yg lebih lama,2026-03-03 22.29.29
Juviana Gouveia,3,ko tiktok ini nggak ada video livenya sih?,2026-03-03 20.12.12
Kaka Kita,5,mengasikan,2026-03-03 17.19.59
Domingas Sarmentoximenes,5,bagus banget ya,2026-03-03 09.12.43
Duarte Tilman,5,di tiktok itu sangat seru dan penting,2026-03-02 21.01.21
Adão Borges (AB Almeida),1,"Saya sangat senang menggunakan app tik tok ini,tapi ko tidak bisa edit foto profil pake video",2026-03-02 15.56.50
Graciano Vm,1,akun ku kebenet selamania,2026-03-02 05.39.12
Juninho Duarte Rossi,1,akun anda diblokir selamanya,2026-03-01 21.54.52
Myla Borges,5,aplikasi ini bagus . aplikasi ini bisa kita comunicasi degan oran lain,2026-03-01 21.19.25
Okta Via,5,bagus,2026-03-01 14.11.33
Jack Bolim,5,kebiasaan hari hari libur pergi mancing mania,2026-02-28 19.23.48
Antonius Umbupati,5,bagus aplikasinya,2026-02-28 13.44.39
Rahayu Ayu,3,eror,2026-02-28 13.10.27
Ninazardacosta Nina,5,tiktik,2026-02-28 09.20.30
TRISIA SANTI PARLINA Tere,1,saya mencari akun gw yg Absolute Batman nah malah gk ada akun saya adanya cuman di pencarian visual gk ada pencarian kayak yg disamping saya suruh perbaiki gk mau yaudah saya kasih rating 1 aja,2026-02-28 00.26.06
leonardo Dacosta,5,Please continue perfect,2026-02-27 11.18.17
filomena teresa,5,lebih baik,2026-02-27 01.38.29
Aida Ribeiro,1,gak bisa velocity,2026-02-26 04.31.58
Veneranda Tilman,2,kenapa ini ngak kayak Tik tok pada umumnya ya? ngedit juga ngak Bisaa ngak tau yaa,2026-02-25 23.36.20
rifandi Yadi,2,kurang bagus,2026-02-25 17.26.01
Husni Vico,5,sangat bagus 👍👍👍,2026-02-25 11.43.48
Andini Ulpa,5,bagus sih tapi kalo bulan puasa banyak bgt fyp makanan,2026-02-25 10.55.24
Hjsyti Murnah,5,aplikasi yang sangat bagus dan mudah berkomunikasi juga dengan keluarga,2026-02-25 06.27.45
Reza Ahmad,5,"efeknya class bingit,wajah jelek bisa kebantu co !",2026-02-25 03.31.55
Ni'ma .K.,2,kenapa yah aplikasi tiktok saya tdak muncul keranjang d menu nya,2026-02-25 01.40.20
Asep Ridwan,5,"i̷n̷i̷ s̷a̷n̷g̷a̷t̷,̷ s̷e̷r̷u̷",2026-02-25 00.56.48
wongkaliwedi 30,1,sangat menghibur,2026-02-24 21.36.21
Herlina,3,"saya tidak mndapatkan update versi terbaru. saya sudah berulangkali instal ulang aplikasi tiktok, tetapi tetap tidak memdapatkan update versi terbaru",2026-02-24 05.53.42
muksin alatas1991,5,sangat bagus👍,2026-02-24 00.43.22
Kopiah Hitam,5,dicoba dulu,2026-02-24 00.02.03
FirraQu Gimata,5,assiik,2026-02-23 23.31.37
Thomas Mouzinho,5,saya sangat suka versi terbaru ini,2026-02-23 14.15.35
Alfredo Dias Quintas,5,bagus,2026-02-23 13.00.19
Kpk Cell,5,"suka konten yang lucu""",2026-02-23 12.39.55
Cecep Darussalam,5,bagus bagus,2026-02-23 10.51.52
Atenk solihinanakkalapas,1,sekrng bulan² ini tiktok suka ngelk tolong dong di perbaiki lagi .. AQ kan beli pulsa sendiri bukan memita dari kas negara kenapa sering eror lama2 malas dowenlod tiktok lagi ..,2026-02-22 14.17.18
PENGHIBUR HATI4,5,sangat luar biasa,2026-02-22 07.40.14
ʏᴀᴅɪ ground,5,banyak hiburan,2026-02-22 07.28.06
Sumyati Sardaka Jamain,5,Tik tok emang paling tempat dan bermanfaat,2026-02-22 06.36.44
Destiny Amelsya,1,sangat cocok,2026-02-21 15.30.29
Julio Dos santos,5,bagus,2026-02-21 10.48.46
Nabila & Annisa The sibling sister,5,seru,2026-02-21 03.01.39
amran amran,5,ok,2026-02-20 14.50.08
Joni Layuk,5,"Ekspresikan Keseharian , Silahturahmi buat Nambah Teman dan Apa adanya..🥰🫶🏻🙏🏻",2026-02-19 05.42.15
Afel Clack,5,sangat bagus dan profesional,2026-02-19 00.22.47
Agus Wahyudi (Cumix),1,tiktok ngk jelas akun diblokir,2026-02-18 18.30.58
Mohammad agil,2,ini gimana cara tup up nya kok gak kenak,2026-02-18 17.45.35
Sebastian Jesus,5,Sangat bagus... kereng,2026-02-17 11.50.47
Alinu Alinu,1,tolong bukah pemblokiran saya berjanji tidak akan ulang ngi kesalahan saya minta maaf atas kesalahan sy,2026-02-17 11.31.40
Sobron Jamil,5,masa Allah,2026-02-17 09.09.06
Vania Silva,5,Sangat baik dan benar serta dalam kegiatan belajar mengajar yang baik,2026-02-17 04.46.34
Januario Do Nascimento,5,berguna,2026-02-15 16.21.41
Rony Sam,5,keren,2026-02-15 14.04.02
Zefinka Agatha,3,"TIKTOK ANEHHH ,MUNCULNYA TAUN 2025.GAADA YG BARU😭",2026-02-15 12.26.38
Well Bawel,5,bagus aku suka,2026-02-15 10.57.09
Fevia Corea,5,bagus,2026-02-15 07.32.48
Damar soares Damar soares,1,tolon memperbaiki live ku,2026-02-13 14.30.59
Anastacio Hornai Dos Santos,5,bagus,2026-02-13 10.17.56
Ato Soares,1,bantu tiktok,2026-02-13 08.11.08
Natalia Araujo,3,🙂🙂,2026-02-13 06.09.09
Fina Low 27,5,good,2026-02-12 23.16.56
Lucky Soares,5,saya suka sekali,2026-02-12 15.22.25
Henriq Gomes,5,good,2026-02-12 07.37.57
Rozalito Jesus ara,4,nice,2026-02-12 07.28.02
Amanu Soares,5,Bagus,2026-02-12 06.27.10
Meli Mirna,5,tiktok terbaik,2026-02-11 08.48.23
Pedro Da Conceicao,5,Tiktok itu bining kita happy dan tertawa lain...,2026-02-10 13.11.17
Bernardete Maria,5,sya sangat menyukai aplikasi ini👍,2026-02-10 11.24.54
artika jember,4,tik tok q gk bisa di perbarui.kenapa ini,2026-02-10 08.59.12
Maria Klaudia moniz galocho,5,bagus banget bisa live,2026-02-10 07.56.54
Tasya Li,5,wort it bgtt,2026-02-10 03.13.09
Jackk Boyy,5,baguss,2026-02-09 08.45.49
Carolina Soares,5,very good💯,2026-02-08 07.21.40
Lutvi Arizal,5,hiburan santai doang,2026-02-08 04.11.48
Malgi P. Ximenes,5,karena bisa membantu saya untuk akses informasi,2026-02-06 13.25.21
Antony Ramos,5,Sula tiktok,2026-02-05 02.50.56
budiono ws,5,top keren,2026-02-04 11.40.14
Junita Maia Arero,5,bagus dan memanfaatkan,2026-02-03 12.46.38
HOLLY NATHALIA,5,bintang lima pokoknya best,2026-02-03 06.05.18
Muhammad Baso,5,saya sangat terhibur dengan ini saya bisa melihat karya yg inda dan lucu saya sangat senang,2026-02-03 04.49.33
Amia Bimi,5,bagusssss,2026-01-31 22.13.14
Arcenya Ximenes,5,bagus bangat Sii aplikasi ini saya suka banga,2026-01-31 06.53.47
Nilus AHAEJP,5,love banget,2026-01-30 18.22.39
H arol Pahrol,2,"setiap mau unrepost vt kok gabisa? jaringan & wifi bagus bagus aja, update mulu tapi malah makin ga bagus.",2026-01-30 06.12.57
Wulan Janggur,5,sangat Bagus,2026-01-28 10.58.36
Denilton Marteng,5,sangat bermanfaat untuk membantu membuat konten dan bisa kasih konten yang menarik,2026-01-28 01.08.39
Rahmat Agussalim,1,"gajelas kali tiktok nih, masuk nya susah kali, udah loading lama, ada keterangan kunjungan terlalu sering. ya gimana ga sering org loading lama trus ga masuk2",2026-01-27 20.26.09
Aze Vedo,5,ko ga bisa di buka sihhh,2026-01-26 22.52.30
Arhy Gatho,5,ok makasih,2026-01-26 15.32.07
TL NOLITO,5,bagus banget ‼️🤝,2026-01-26 09.32.05
Cristovão Dacosta Pereira,5,aku kasi Bintang lima karen aplikasi ini,2026-01-24 15.36.31
Alinu bx,5,❤️❤️❤️🥇,2026-01-24 08.58.11
Juvenio Souja,2,ok,2026-01-23 22.04.50
Novintha Larantika,1,"aplikasi GK jelas, GK bisa masuk, jangan pernah di download",2026-01-23 11.39.05
Sharif Khan,5,Ejek,2026-01-23 11.16.33
Poppy,1,kenapa ga bisa login ya?,2026-01-23 08.54.45
Chairunnisa,1,"kenapa sekarang buka komen gak bisa, gak keluar apa2 padahal sinyal baik2 saja Dan lemot mau login lagi padahal pakai aplikasi lain normal",2026-01-22 15.57.44
rival hasibuan,5,keren,2026-01-21 17.28.05
Emilia Da silva,5,game sangat bagus tapi bensin kalo habis minta kita ke vidio dan suda folow masuk lagi ke game truck minyak tida ada,2026-01-19 12.16.26
Isfalana Putri,1,apl monyet,2026-01-19 00.20.19
Sidalia Sarmento,5,Akun Saya Tidak bisa live,2026-01-18 12.51.31
Brian Oliveira,5,videonha sangant menghibur ku,2026-01-18 11.18.55
Latifa A (A),4,"Aku suka Apl ini,bisa Melihat kabar2 yang ketinggalan di sosmed 😘",2026-01-18 09.50.16
Abdulhamid Azhary,5,nice,2026-01-18 02.38.07
Carlos Calopes,1,"Saya kasih rating satu karna kadang kita lagi asik nonton malah keluar sendiri,terus kalo didownload lagi dia gak bakal muncul dam gak bisa masuk!",2026-01-16 22.03.16
Zayat Dasuki,5,bagus. akun tiktoknya bisa membantu mencari temen Sudara semua,2026-01-16 20.46.57
Arna Wasih,3,gk bagus,2026-01-16 19.06.16
Santi Santiman,3,sangat bgus,2026-01-16 13.31.26
Olan Guterres,5,ok,2026-01-16 09.33.48
Shafeek Mohammed,5,aku selalu bahagia ama tiktok,2026-01-15 10.50.41
Cobain Xpro,4,bagus,2026-01-15 06.07.49
Umi Saniti,2,Sangat luar biasa,2026-01-15 02.50.22
محمد محمود,5,تکتو حذفک,2026-01-14 19.06.27
darwansap stialanri,4,bagus dan membantu,2026-01-13 16.21.00
Fatima Oni,5,👍,2026-01-13 05.23.32
Aprilya Presiska,1,"aplikasi nya tidak bisa digunakan tulisannya hanya ""layanan kami tidak tersedia di negara atau wilayah anda"" mohon perbaikannya",2026-01-12 17.08.23
Gil Bopak,5,Terbaik untuk kita semua,2026-01-11 15.45.38
Abilio Amagai,5,sangat Bagus,2026-01-11 05.21.43
Januario Soares,5,hebat,2026-01-11 05.07.33
pedro da silva Amaral,5,sangat puas,2026-01-10 12.42.38
Tomas De Araujo,5,Bagus,2026-01-10 02.09.49
Pak Aggus,5,sangat bagus filternya,2026-01-08 15.17.59
Raffaalghifari05 Raffa Al-Ghifari,5,bagus Tiktok sangat menghibur,2026-01-07 12.58.00
Laka Laka,1,live,2026-01-06 05.50.19
Helio Da silva,5,for you👍👍👍👍👍👍👍👍,2026-01-06 04.33.27
Naila Khimatul,5,masyaallah,2026-01-06 02.46.04
Maryani 88,5,baguss bgt,2026-01-05 14.24.04
JAY,1,Audio tiktok live pada android versi 16 mono tidak stereo.,2026-01-05 02.39.25
Abrão S. G. Sales,3,the best👏💯,2026-01-04 22.31.32
Josefina Tania Das Dorea,5,mudah,2026-01-04 15.26.41
Kaidin Start,1,sekarang semenjak ada iklan aplikasi jadi sering macet dan membuat tidak nyaman.,2026-01-03 10.56.38
Litik Maryono,5,sangat bagus dan juga saya jadi sangat terinspirasi dari video2 yg ada disini,2026-01-03 05.49.33
Luna Maya,5,tik tok ini sangat berguna dan bermanfaat sekali jadi saya kasih bintang 5,2026-01-03 02.37.15
Fatima Tuzahra,4,Tik tok buat saya adalah hiburan pengetahuan dan informasi yang langsung dari netizen 👆🏻😘,2026-01-03 02.34.26
welas ashi,3,ok,2026-01-01 16.46.06
Jony dana Do santos,5,Bagus karena menghibur kita,2025-12-31 23.36.04
Agus Teguh Setiawan,1,"Penipuan, menjalankan tugas, eh gak bisa di klaim.",2025-12-31 09.41.14
Jody Afonsu,5,sai suka,2025-12-31 08.50.35
Miftah Jannah,3,saya baru update software android 16 pada perangkat galaxy A53 5G akan tetapi tik tok menjadi mono. tolong software tik tok segera diupdate agar support ke android 16 sehingga saat live suara di perangkat saya jadi stereo lagi.terimakasih🙏,2025-12-30 21.17.32
Vytha Queen,5,bagus sekali aplikasi tik tok ini🥰,2025-12-30 09.01.03
Vinte Dois,3,Sangat cocok,2025-12-30 08.01.29
Borges Carla,5,bagus tapi sangat men ruas penyimpangan hp,2025-12-29 01.22.56
suda oru,1,susah banget fyp tapi kalo hp iPhone udah pasti fyp. tcih,2025-12-28 14.41.23
Brayanu Gomes,5,hallo tiktok akun saya ada postingan ulang nya mohon di perbaiki,2025-12-28 09.54.26
Filipe Do Rosario,5,ini sangat bagus karena kalo saya lagi bosan saya selalu nonton tiktok,2025-12-28 09.07.43
Tita Juwita,1,"shop ny tiba"" hilang.. saya jadi gak bisa pesan online untuk keluarga di rumah.. saya posisi kerja di Saudi",2025-12-27 19.17.18
Nelia Assis,4,sangat bagus dan berkualitas,2025-12-26 22.14.45
SUL MAYADI,5,pengalaman saya sebagai tukang kayu pekerjaan sebagai tukang masak,2025-12-26 10.31.36
Celestino Barbosa,5,"aku sangat menyukai media tiktok ini,karena bisa menemaniku di saat hati lagi galau",2025-12-26 07.32.36
Marco Antonio,1,"gasuka,tiba tiba akun ku ke blok dengan alasan ngak jelas 😌",2025-12-26 03.47.34
Solerae Amaral812,4,saya menyukai tiktok ini,2025-12-26 03.28.30
Ebhy Sanches,3,Tolon jangan buat apdate lagiyaa pliss.,2025-12-25 23.05.25
Sebas Rex,5,saya beri 5⭐ karena appNy sangat bgus,2025-12-25 04.52.59
ocho tchaylor,5,thanks for your,2025-12-23 07.45.47
Boni 7777,5,ok bangat👍,2025-12-22 15.56.38
SakuyaPanda,1,akun ku di ban selamanya tanpa ada keterangan yang lebih rinci.,2025-12-22 15.40.55
Pedro Bua,5,tolon saya aplikasi tiktok tida bisa di buka 🙏,2025-12-22 13.55.16
Jucelina Freitas,5,😙,2025-12-21 14.47.15
Francisco Aleixo,5,b aja,2025-12-21 13.08.25
Riki Shang,4,bagus,2025-12-21 01.37.10
REJO,5,sangat berguna sekali utk mengetahui infirmasi² publik dan juga membantu utk bisa beli barang2 online karena disini sangat detail kualitas barang dan produknya bagus,2025-12-20 03.32.26
Reza Febrian,1,banyak iklan anjir beda banget sama douyin dikit iklan nya,2025-12-20 02.39.48
Faria Moruk,5,apk favorit,2025-12-20 01.27.59
Nia Ayuni L,5,aplikasi sosmed yg menghibur & paling mudah digunakan,2025-12-19 11.20.54
Andika,2,Apk sesar,2025-12-18 10.41.03
Nicolau Soares,5,Good Apk 👌,2025-12-18 09.24.41
Murai Bewok,2,ksh Bintang 2 dlu klo bagus bintang full,2025-12-18 05.32.54
siti asna,3,"ngelek banget di pke di luar negri pdhl disni sudah pke vpnn,tolonglh di perbaiki agar bisa di pake saat luar negri juga",2025-12-18 04.35.02
SANDRO COIMBRA,5,senang nonton aplikasi nya,2025-12-18 03.44.29
Muksin Ntb,5,ok,2025-12-17 15.57.11
LUKMAN HAKIM,5,good,2025-12-17 04.33.51
Sebeh Al-Banjari,1,kacau,2025-12-17 03.55.22
Xisto. Soares,5,Saya suka 😙😘,2025-12-16 13.28.03
Marilinho Da Silva,5,Sangat menhibur,2025-12-16 11.54.30
Qi Sirr,3,koin saya hilang padahal g d pake,2025-12-16 09.13.36
Mus Lomboki,4,liat live kok GK bisa suka macet2 aneh sekali,2025-12-16 08.46.58
Aquino Freitas da Costa,3,Bagus tetapi selalu loading banget,2025-12-16 02.01.18
Sandi Orang salah,5,Sangat bagus app nya,2025-12-16 00.38.50
Asnawi Shofi,4,oke,2025-12-15 22.12.51
Neni Suryani,5,saya sangat terhibur dengan menggunakan metode tiktok untuk membuat sebuah karya video yg bisa mengekspresikan wajah dan gaya👍😘,2025-12-15 07.00.20
agoes wandi,1,aplikasi jahat..memblokir akun senaknya saja.tanpa.pemberitahuan.,2025-12-15 03.40.43
santun siregar,5,bagus untuk hiburan dan lain lainnya,2025-12-14 16.32.08
Miftah Mif,5,syh sangat puwas dengan tiktok tapi Komal nyh tolong di tambah lgi yah terlalu sedikit makasih,2025-12-14 04.45.21
Sakinah Munawaroh,1,lelet bgt,2025-12-13 23.52.27
Rahma Wati,4,belajar lebih baik timbang gak mau berusaha,2025-12-13 10.25.02
M Vd,5,❤️❤️,2025-12-13 04.50.50
Agostinha Soares,5,pokoknya thebest banget si tiktok ina jedi gue kasi bintang lima deh. jadi selamanya.semoga ada banyak lagi yang kasih bintang lima AMIN🙏🏻😖❤️🪐⭐️⚡️,2025-12-12 11.00.02
felizberto Lopes,5,good apk,2025-12-12 06.21.26
Hardiyan Saputra,5,ok,2025-12-11 05.52.09
jordanio madeira,5,bagus bangat,2025-12-11 05.15.33
Cristiano Baptista,5,mantap aku sekarang bisa live PUBG MOBILE,2025-12-11 03.24.51
oscar santos,5,💪🤝,2025-12-10 18.06.25
Татьна Лафиренко,2,good👍,2025-12-10 04.30.27
Euis Wiwin,5,cukup menyenangkan menggunakan aplikasi ini bisa namun terkadang suka susah klw mau d update,2025-12-08 15.53.13
Merry Nandes,5,seru karena boleh mawar ehehehhe,2025-12-08 10.39.32
Paul Alves araujo,5,❤️,2025-12-08 05.26.43
Neng Lina,2,suka keluar sendiri,2025-12-07 14.46.31
Monika Situmorang,1,"nginstalnya makan paket banyak, semua banyakk tapi ngeleknyaa beuhhhhh",2025-12-07 08.54.56
Barnabe De Carvalho Araujo,5,terbaik,2025-12-07 02.39.39
Palmira da Costa,5,saya suka aplikasi ini,2025-12-07 00.39.27
Youremine Emx,3,aplikasinya lama2 gak bagus,2025-12-06 12.40.39
Leticya Ticia,1,saya rasa menyenpa tik tok saya tidak bisa di download,2025-12-06 01.40.22
Sofyan Fahmi,1,aplikasi pembodohan,2025-12-05 20.53.13
Novitasari Novitasari,2,njiss udh di update2 kaga bisaa,2025-12-05 17.07.50
Feliciano Dos Santos,5,Bisnis,2025-12-05 00.47.57
Phatima,5,sangat bagus.,2025-12-04 21.45.16
Reislire Reis,5,Kereng,2025-12-03 11.35.51
Gusti Damel,3,trimakasi telah membantu kami,2025-12-01 13.05.24
Mevia Gracia,5,saya suka aplikasi tiktok dia bisa menghibur saya dan saya sangat suka dan saya Maun account saya bisa di fyp dan likenya banyak dan saya pernah trauma live di tiktok karena orang viralin live kami dan saya juga suka nonton semua film di tiktok dan kita juga punya banyak teman di tiktok kita juga bisa upload hari hari kita di tiktok dan video lucu lucu dan tiktok bisa melengkapi hari hari sepi kita kata kata yang bisa menghibur kita di tiktok dan saya sangat suka sama tiktok dan saya tidak bisah,2025-12-01 11.48.36
Apriliana Cruz,5,TikTok buat kita tau bnyak trus kenal bnyak orang terus bikin ita jadi punya bnyak hobi,2025-12-01 09.23.04
Naser Televom,5,bantu cari cuan d tiktok,2025-12-01 02.05.03
Humaira Islam,5,Good apps,2025-11-30 11.52.18
Munip Ghozali,5,saya jadi bahagia,2025-11-30 08.55.04
Casilda Jong Rodrigues pereira,5,aku suka banget 🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩,2025-11-30 03.55.28
Luna Irawan,5,biasa Bae,2025-11-29 22.33.47
RIYAN MASLAH,1,bagus,2025-11-29 14.44.41
Holil Surabaya,5,ok,2025-11-29 13.33.29
Denilton agosto da Costa,5,bagus,2025-11-29 04.17.44
Paulo Alves da silva,5,❤️,2025-11-28 06.53.00
dina soriano,5,bagus aplikasinya saya sangat suka dengan aplikasinya🫡🫡,2025-11-28 03.29.59
Rafie Rafie,3,"Masya Allah, ternyata Tik Tok adalah salah satu sarana media sosial dunia Maya serba guna,bisa untuk dijadikan fasilitas bisnis, sosial,berda'wah, sarana menuntut ilmu, bagian dari salah satu lapangan kerja, bisnis dagang on line,",2025-11-27 21.32.49
Blaxy Black,5,aplikasi ini buat aku semangat setiap hari,2025-11-27 10.20.46
Ana Jeronimo,5,aku mau bikin tiktok biar bisa posting trimakasi untuk tiktok so much I don't want it fenlaen tiktok my Brithday to aintur the morning and biar bisa like komen to aintur to aintur to aintur to aintur the one with a different point 👉 👈 👇 😀 and timor leste and timor leste in your life so I have to aintur it 😀 and timor 🇹🇱 to Semana the best for you brother to me is that you are welcome and you are the one I DON'T BREAK YOUR MIND IN THE BEST OF MY LIFE AND BIAR MY LIFE AND TIMOR LESTE AND bi,2025-11-26 10.00.02
Filomena Hornay04,4,bagus,2025-11-26 04.26.09
Luciano Baptista Araujo,5,mantap,2025-11-26 00.40.00
Latichia fernandes Monteiro,1,saya kasih 1binta aja soalnya tiktok itu harus berusia 18th bru ada ķotak masuk notifikasi pesan aku pengen kirik pesan sama teman aku tapi batas usia saya udh 16thn brp tahun lagi aku ke 18thn lama tau,2025-11-25 23.31.49
Septiana Fernandes Joaquim,5,bagusssss,2025-11-25 15.40.17
AMINA Amina abdulloh,5,bermimpilah setingigi2nya,2025-11-25 11.51.47
Lis Nia,5,bagus,2025-11-24 20.13.39
password: 7df52x,1,kenapa setiap ganti akun ikon komentar foto selalu hilang? mohon perbaiki masalah ini,2025-11-24 14.56.29
Sandi Yudha,2,"knp setiap aku download tidak bisa di buka ada tulusan ""layanan kami tidak tersedia di negara atau wilayah anda"" knp bgitu",2025-11-24 01.01.14
Myra joao,5,Good,2025-11-24 00.32.00
Mendonca 18,5,asikkkkk,2025-11-23 14.49.07
Ahmad Banten,1,good,2025-11-23 04.33.56
Louverdio Modo,5,Sagat suka.,2025-11-23 02.53.56
Dade Guimaraes,5,good,2025-11-21 10.10.42
renaldy aldy,5,sangat bagus,2025-11-20 18.23.22
dewi poker,4,tiba tiba fitur live hilang kenapa jadi gini sih,2025-11-20 15.48.31
